Statistics;Type;Object;Product;Vehicle type;Source;Sale batch;BOM;Period;Account;Destination;Zone;Staff type;value;unit;
Available Inventory;DC;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.05;kg;
Available Inventory;DC;DC Tromsø;Sucre;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Tromsø;Beurre mou;;;;;Time period;;;;;2;kg;
Available Inventory;DC;DC Tromsø;Noix hachees;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Tromsø;Raisins sec;;;;;Time period;;;;;1;kg;
Available Inventory in Product Units;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Available Inventory in Product Units;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Oslo;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Available Inventory in Product Units;;DC Oslo;Sucre;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Oslo;Beurre mou;;;;;Time period;;;;;4;Product unit;
Available Inventory in Product Units;;DC Oslo;Noix hachees;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Oslo;Raisins sec;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Available Inventory in Product Units;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Bergen;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Available Inventory in Product Units;;DC Bergen;Sucre;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Bergen;Beurre mou;;;;;Time period;;;;;4;Product unit;
Available Inventory in Product Units;;DC Bergen;Noix hachees;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Bergen;Raisins sec;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Available Inventory in Product Units;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Available Inventory in Product Units;;DC Trondheim;Sucre;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Trondheim;Beurre mou;;;;;Time period;;;;;4;Product unit;
Available Inventory in Product Units;;DC Trondheim;Noix hachees;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Trondheim;Raisins sec;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Available Inventory in Product Units;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Available Inventory in Product Units;;DC Stavanger;Sucre;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Stavanger;Beurre mou;;;;;Time period;;;;;4;Product unit;
Available Inventory in Product Units;;DC Stavanger;Noix hachees;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Stavanger;Raisins sec;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Sucre;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Beurre mou;;;;;Time period;;;;;4;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Noix hachees;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Kristiansand;Raisins sec;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Available Inventory in Product Units;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Available Inventory in Product Units;;DC Tromsø;Sucre;;;;;Time period;;;;;20;Product unit;
Available Inventory in Product Units;;DC Tromsø;Beurre mou;;;;;Time period;;;;;4;Product unit;
Available Inventory in Product Units;;DC Tromsø;Noix hachees;;;;;Time period;;;;;2;Product unit;
Available Inventory in Product Units;;DC Tromsø;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Cost per Item;;DC Oslo;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;DC Bergen;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;DC Trondheim;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;DC Stavanger;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;DC Kristiansand;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;DC Tromsø;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Item;;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;DC Oslo;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;DC Bergen;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;DC Trondheim;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;DC Stavanger;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;DC Kristiansand;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;DC Tromsø;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Average Cost per Order;;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
Average Daily Available Inventory;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Oslo;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily Available Inventory;;DC Oslo;Sucre;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Oslo;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily Available Inventory;;DC Oslo;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Oslo;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Bergen;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily Available Inventory;;DC Bergen;Sucre;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Bergen;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily Available Inventory;;DC Bergen;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Bergen;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily Available Inventory;;DC Trondheim;Sucre;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Trondheim;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily Available Inventory;;DC Trondheim;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Trondheim;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily Available Inventory;;DC Stavanger;Sucre;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Stavanger;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily Available Inventory;;DC Stavanger;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Stavanger;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily Available Inventory;;DC Kristiansand;Sucre;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Kristiansand;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily Available Inventory;;DC Kristiansand;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Kristiansand;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily Available Inventory;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily Available Inventory;;DC Tromsø;Sucre;;;;;Time period;;;;;20;kg;
Average Daily Available Inventory;;DC Tromsø;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily Available Inventory;;DC Tromsø;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory;;DC Tromsø;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily Available Inventory in Product Units;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Oslo;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Bergen;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Trondheim;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Stavanger;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Kristiansand;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily Available Inventory in Product Units;;DC Tromsø;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily On-hand Inventory;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Oslo;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily On-hand Inventory;;DC Oslo;Sucre;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Oslo;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily On-hand Inventory;;DC Oslo;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Oslo;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily On-hand Inventory;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Bergen;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily On-hand Inventory;;DC Bergen;Sucre;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Bergen;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily On-hand Inventory;;DC Bergen;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Bergen;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily On-hand Inventory;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily On-hand Inventory;;DC Trondheim;Sucre;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Trondheim;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily On-hand Inventory;;DC Trondheim;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Trondheim;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily On-hand Inventory;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily On-hand Inventory;;DC Stavanger;Sucre;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Stavanger;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily On-hand Inventory;;DC Stavanger;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Stavanger;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Sucre;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Kristiansand;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;kg;
Average Daily On-hand Inventory;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.1;kg;
Average Daily On-hand Inventory;;DC Tromsø;Sucre;;;;;Time period;;;;;20;kg;
Average Daily On-hand Inventory;;DC Tromsø;Beurre mou;;;;;Time period;;;;;4;kg;
Average Daily On-hand Inventory;;DC Tromsø;Noix hachees;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory;;DC Tromsø;Raisins sec;;;;;Time period;;;;;2;kg;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Oslo;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Bergen;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Trondheim;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Stavanger;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Kristiansand;Raisins sec;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;40;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.1;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Sucre;;;;;Time period;;;;;20;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Beurre mou;;;;;Time period;;;;;4;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Noix hachees;;;;;Time period;;;;;2;Product unit;
Average Daily On-hand Inventory in Product Units;;DC Tromsø;Raisins sec;;;;;Time period;;;;;2;Product unit;
CO2 by Facility Size;;DC Oslo;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;DC Bergen;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;DC Trondheim;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;DC Stavanger;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;DC Kristiansand;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;DC Tromsø;;;;;;Time period;;;;;0;CO2;
